datetime,open,high,low,close,volume
2015-07-20 18:00:00,277.98,280.0,277.37,280.0,782.88341959
2015-07-21 00:00:00,279.96,281.27,279.38,280.81,1480.19472074
2015-07-21 06:00:00,280.81,280.89,278.76,279.4,602.33046995
2015-07-21 12:00:00,279.38,280.0,278.25,279.76,1177.27234248
2015-07-21 18:00:00,279.76,280.0,276.85,277.32,1683.7619012
2015-07-22 00:00:00,277.33,278.3,275.51,275.81,1247.91026529
2015-07-22 06:00:00,275.74,277.11,275.01,277.11,811.93510005
2015-07-22 12:00:00,276.93,278.54,276.0,277.81,1168.00671797
2015-07-22 18:00:00,277.81,277.96,276.0,277.89,1460.0573
2015-07-23 00:00:00,277.96,279.75,277.33,277.63,1306.86177323
2015-07-23 06:00:00,277.63,278.19,277.14,277.31,700.57674403
2015-07-23 12:00:00,277.36,278.25,276.36,276.88,1638.37599316
2015-07-23 18:00:00,276.88,277.8,276.28,277.39,1661.10506489
2015-07-24 00:00:00,277.23,277.62,276.43,277.62,1110.44746833
2015-07-24 06:00:00,277.62,286.72,277.6,285.1,1736.71818546
2015-07-24 12:00:00,285.1,288.99,283.75,288.26,2205.24517242
2015-07-24 18:00:00,288.49,291.52,287.79,289.12,2310.05825674
2015-07-25 00:00:00,289.12,289.99,286.82,288.24,1515.75599918
2015-07-25 06:00:00,288.23,291.25,288.02,290.4,445.09194556
2015-07-25 12:00:00,290.45,291.67,288.59,288.59,1086.7719906
2015-07-25 18:00:00,288.6,289.7,287.62,289.7,1054.83302474
2015-07-26 00:00:00,289.68,289.99,288.65,288.96,664.58793698
2015-07-26 06:00:00,288.95,293.44,288.65,293.43,539.23742278
2015-07-26 12:00:00,293.44,293.87,291.92,292.74,1376.39790748
2015-07-26 18:00:00,292.75,294.49,292.03,293.89,1155.02333531
2015-07-27 00:00:00,293.88,294.96,292.37,292.42,1333.31355158
2015-07-27 06:00:00,292.43,292.5,287.24,288.4,858.73775909
2015-07-27 12:00:00,288.39,289.92,288.11,288.75,1626.776705
2015-07-27 18:00:00,288.75,297.0,288.74,294.21,2642.20511923
2015-07-28 00:00:00,294.22,298.0,293.65,297.04,1723.7392751
2015-07-28 06:00:00,296.98,297.25,293.69,294.69,948.54294452
2015-07-28 12:00:00,294.76,297.13,294.27,296.19,1595.72368163
2015-07-28 18:00:00,296.15,296.55,295.5,295.76,1493.86371645
2015-07-29 00:00:00,295.74,296.58,291.5,291.5,1523.74555647
2015-07-29 06:00:00,291.52,291.8,289.01,290.24,939.97438577
2015-07-29 12:00:00,290.33,292.19,290.27,290.3,1282.87982941
2015-07-29 18:00:00,290.31,293.0,289.12,290.19,1476.90739899
2015-07-30 00:00:00,290.26,290.98,288.24,290.69,1223.86310751
2015-07-30 06:00:00,290.78,291.56,286.56,286.7,942.91220157
2015-07-30 12:00:00,286.7,289.4,286.7,288.71,1481.61562783
2015-07-30 18:00:00,288.71,289.27,287.71,288.49,1490.59061165
2015-07-31 00:00:00,288.49,290.0,285.0,285.28,1389.22682912
2015-07-31 06:00:00,285.07,285.37,282.79,284.96,996.01092572
2015-07-31 12:00:00,284.92,286.25,283.68,285.5,1604.47963558
2015-07-31 18:00:00,285.57,287.54,284.28,285.19,1686.90106851
2015-08-01 00:00:00,285.2,285.6,282.25,282.34,990.06916822
2015-08-01 06:00:00,282.3,282.3,277.82,277.82,602.54920253
2015-08-01 12:00:00,278.09,281.66,277.26,280.95,1101.13309297
2015-08-01 18:00:00,281.06,282.83,280.75,281.53,1238.69828773
2015-08-02 00:00:00,281.53,281.63,277.51,278.96,866.00117402
2015-08-02 06:00:00,278.88,280.69,277.33,280.42,695.70327547
2015-08-02 12:00:00,280.51,282.01,280.5,281.12,786.98800841
2015-08-02 18:00:00,281.15,282.62,280.92,282.62,1012.3942314
2015-08-03 00:00:00,282.62,282.62,280.27,280.97,1164.60136575
2015-08-03 06:00:00,281.08,284.4,280.97,283.62,536.17752984
2015-08-03 12:00:00,283.63,285.81,283.63,285.3,1645.1068676
2015-08-03 18:00:00,285.15,285.86,280.95,280.95,1395.84334348
2015-08-04 00:00:00,280.95,284.71,280.11,283.56,1884.53488777
2015-08-04 06:00:00,283.58,284.39,282.0,284.26,656.11132934
2015-08-04 12:00:00,284.24,286.1,284.17,286.07,1554.05088398
2015-08-04 18:00:00,286.0,286.47,284.84,285.51,1485.52342846
2015-08-05 00:00:00,285.6,286.25,283.54,283.57,1474.09923424
2015-08-05 06:00:00,283.57,283.89,282.01,282.67,1013.26538013
2015-08-05 12:00:00,282.82,283.55,282.47,283.2,1507.94950463
2015-08-05 18:00:00,283.2,284.44,282.01,282.77,1770.17367767
2015-08-06 00:00:00,282.44,282.61,281.05,281.1,1366.36897417
2015-08-06 06:00:00,281.13,281.29,280.08,280.23,660.81033005
2015-08-06 12:00:00,280.1,280.15,278.95,279.31,1449.68341194
2015-08-06 18:00:00,279.37,280.04,278.96,279.65,1550.99292451
2015-08-07 00:00:00,279.37,280.75,277.3,278.1,1431.58345252
